ProviderID,ProviderName,NetworkReliability,CallDropRate,BroadbandSpeed,CustomerSatisfaction
1,Glo,0.2878832285541183,0.30524496890394315,7,1
29,Airtel,0.19167603170221337,0.7962973810700121,84,3
55,Etisalat,0.5853639072321168,0.2956306620620188,61,5
90,Airtel,0.3447278340651869,0.7641292653908379,37,5
31,Etisalat,0.8780416714353754,0.8738033764888509,58,4
89,Etisalat,0.7504531661502688,0.8760387185361712,36,3
50,Etisalat,0.41278119133246505,0.20598110068346498,34,3
14,MTN,0.046359322251254054,0.01283657012996009,49,2
51,MTN,0.14616648459720538,0.8873876766415324,25,1
48,Glo,0.5389418604756159,0.1333893162672506,41,5
11,MTN,0.5346404211274328,0.3022861486328484,80,5
10,Etisalat,0.5024524599403237,0.8255133057200613,68,5
12,Airtel,0.7026098771002657,0.9187432986902704,1,3
5,Etisalat,0.7683843112216326,0.08050743175112474,22,3
15,Glo,0.8665388811947018,0.35148424531545286,18,5
52,MTN,0.508658554276282,0.2847481818119162,16,2
78,Airtel,0.21140105563351685,0.6392071035580845,36,5
56,Etisalat,0.2676086669105593,0.03422832288774791,90,2
35,MTN,0.581846032460684,0.8711105400672234,80,1
78,MTN,0.6877080747717826,0.8305179549576672,80,3
56,Etisalat,0.19607271579754926,0.11323391892805168,64,5
27,Etisalat,0.45318351770716225,0.10621858177443144,91,5
33,Etisalat,0.8291771634110453,0.640691553350681,12,1
12,Glo,0.4087551851100163,0.7567783751173671,98,3
27,MTN,0.713060219576987,0.6717317871964988,11,3
84,Etisalat,0.3873520482094974,0.38692670590563927,66,4
2,Airtel,0.7902759202957187,0.14488154660261243,53,1
96,Airtel,0.3503832339185857,0.6592195138416378,47,4
42,Glo,0.20815373477985677,0.737424237803437,8,2
29,Airtel,0.6087791975175072,0.9713329985272299,90,4
90,Airtel,0.3678349367986209,0.8711024971441979,32,2
41,Airtel,0.6869013459417811,0.3828128619166471,57,4
70,Airtel,0.8877079311653159,0.4232076533046264,97,3
4,Glo,0.556928971917308,0.4073064779624579,13,2
81,Etisalat,0.7704630031091215,0.385095556545487,6,3
99,Etisalat,0.7142621676926839,0.7696941802964898,33,5
43,Etisalat,0.5531734532754791,0.01371286836293839,9,3
80,MTN,0.36565507345353965,0.14524924919905724,76,2
79,Etisalat,0.0811278507669484,0.9615038283989172,51,2
30,Airtel,0.8357476228201052,0.9009894705731399,15,4
69,Glo,0.23694551474960523,0.24119542001732075,7,5
71,Airtel,0.023198573617043694,0.3875299754832473,29,3
82,Airtel,0.47269877397765114,0.7031813677297133,69,3
53,Etisalat,0.61561459901626,0.9467855231577352,49,1
85,Airtel,0.17334996128113922,0.42746947593465245,99,5
65,Airtel,0.31606852062425883,0.9350653669051303,42,1
34,MTN,0.9802779138785577,0.24931712076625034,81,3
59,Etisalat,0.27429563821714165,0.6629418940336758,70,4
44,MTN,0.6541114660440075,0.7206511662752817,92,1
100,Glo,0.47701064669131943,0.12048986829899799,55,3
89,MTN,0.5821144103668835,0.8480974423898107,30,1
86,Glo,0.06735827435657404,0.1711514795127187,37,2
67,Etisalat,0.015122556636103401,0.6123044260936437,75,3
87,Airtel,0.8973896259720846,0.49038602150768296,5,2
2,Glo,0.3793857900591292,0.8090256363073143,98,5
8,Glo,0.3810254569406585,0.8311425727656331,90,1
93,Etisalat,0.8066859419372212,0.8993154926298462,12,3
8,Etisalat,0.43650959178187687,0.3675796147299749,23,2
15,MTN,0.9134031117018526,0.24258981142914338,19,4
15,Glo,0.44747817791915245,0.10374761172154556,50,2
92,Glo,0.10084705764929125,0.8968894606132317,74,5
45,Airtel,0.15216748799773905,0.37084549633337593,99,4
27,MTN,0.2443747692366406,0.11372895960735241,98,5
65,Etisalat,0.9647709188575886,0.4937365304315193,14,4
13,Airtel,0.1158988111985636,0.05905412867324844,55,2
73,Airtel,0.7024039824546999,0.5343070466661194,28,4
51,MTN,0.5402688393037118,0.4458815016579535,57,3
84,MTN,0.47061545963901286,0.4877078150868429,30,5
11,Glo,0.3718332208151507,0.07387810129921113,77,5
27,Etisalat,0.5293840367033834,0.574971219892465,91,2
91,Etisalat,0.45735482671421457,0.14405947577965783,99,1
8,Glo,0.3882810980226935,0.25778242745317004,33,5
9,Glo,0.8106333545227326,0.9453547093144659,31,3
5,Glo,0.3941598077113393,0.10694491599804146,45,4
